feeder_id,feeder_name,district,source_label,coverage_type,city_membership,match_status,canonical_name,barangay_psgc,suggested_canonical_name,geometry_precision
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Arsenal Aduana,PORTION,ILOILO_CITY,EXACT_PSA,Arsenal Aduana,0631000007,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Danao,PORTION,ILOILO_CITY,EXACT_PSA,Danao,0631000042,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Ed Ganzon,PORTION,ILOILO_CITY,EXPLICIT_ALIAS,Edganzon,0631000054,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Inday,PORTION,ILOILO_CITY,EXACT_PSA,Inday,0631000070,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Kauswagan,PORTION,ILOILO_CITY,EXACT_PSA,Kauswagan,0631000081,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Magsaysay,PORTION,ILOILO_CITY,EXACT_PSA,Magsaysay,0631000102,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Nonoy,PORTION,ILOILO_CITY,EXACT_PSA,Nonoy,0631000116,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Roxas Village,PORTION,ILOILO_CITY,EXACT_PSA,Roxas Village,0631000140,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Sampaguita,PORTION,ILOILO_CITY,EXACT_PSA,Sampaguita,0631000146,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,San Agustin,PORTION,ILOILO_CITY,EXACT_PSA,San Agustin,0631000148,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,San Felix,PORTION,ILOILO_CITY,EXACT_PSA,San Felix,0631000150,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Villa Anita,PORTION,ILOILO_CITY,EXACT_PSA,Villa Anita,0631000189,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,City Proper,Yulo Arroyo,PORTION,ILOILO_CITY,EXPLICIT_ALIAS,Yulo-Arroyo,0631000193,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F01,Diversion Feeder 1,La Paz,Nabitasan,PORTION,ILOILO_CITY,EXACT_PSA,Nabitasan,0631000114,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Bakhaw,PORTION,ILOILO_CITY,EXACT_PSA,Bakhaw,0631000009,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Bolilao,PORTION,ILOILO_CITY,EXACT_PSA,Bolilao,0631000021,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Buhang Taft North,PORTION,ILOILO_CITY,EXACT_PSA,Buhang Taft North,0631000025,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Dungon C,PORTION,ILOILO_CITY_EXPECTED,UNRESOLVED,,,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Hibao-an Sur,PORTION,ILOILO_CITY,EXACT_PSA,Hibao-an Sur,0631000067,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Hibao-an Norte,PORTION,ILOILO_CITY,EXACT_PSA,Hibao-an Norte,0631000152,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,San Rafael,PORTION,ILOILO_CITY,EXACT_PSA,San Rafael,0631000160,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Santa Rosa,PORTION,ILOILO_CITY,EXACT_PSA,Santa Rosa,0631000165,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,Pale Benedicto,PORTION,ILOILO_CITY,EXPLICIT_ALIAS,Pale Benedicto Rizal,0631000196,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,PHHC Block 22 NHA,PORTION,ILOILO_CITY,EXACT_PSA,PHHC Block 22 NHA,0631000128,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Mandurriao,PHHC Block 17,WHOLE,ILOILO_CITY,EXACT_PSA,PHHC Block 17,0631000127,,FULL_BARANGAY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Jaro,Calubihan,PORTION,ILOILO_CITY,EXACT_PSA,Calubihan,0631000078,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Jaro,Cuartero,PORTION,ILOILO_CITY,EXACT_PSA,Cuartero,0631000040,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Jaro,Dungon A,PORTION,ILOILO_CITY,EXACT_PSA,Dungon A,0631000050,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Jaro,Dungon B,PORTION,ILOILO_CITY,EXACT_PSA,Dungon B,0631000051,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
MORE-ILO-DIVERSION-F02,Diversion Feeder 2,Jaro,Sambag,PORTION,ILOILO_CITY,EXACT_PSA,Sambag,0631000144,,PARTIAL_NO_SUBBARANGAY_GEOMETRY
